PriceGroup,WidthInches,HeightInches,Price
5,60,72,378.42
5,66,72,414.96
5,72,72,448.98
5,84,72,519.12
5,96,72,592.20
5,24,78,186.90
5,30,78,220.50
5,36,78,255.36
5,42,78,289.80
5,48,78,328.02
5,54,78,364.56
5,60,78,404.04
5,66,78,441.42
5,72,78,479.64
5,84,78,553.98
5,96,78,630.42
5,24,84,194.88
5,30,84,230.58
5,36,84,269.64
5,42,84,306.60
5,48,84,344.82
5,54,84,383.46
5,60,84,423.78
5,66,84,464.10
5,72,84,502.74
5,84,84,581.70
5,96,84,663.60
5,24,90,204.12
5,30,90,242.34
5,36,90,282.66
5,42,90,322.14
5,48,90,362.46
5,54,90,405.72
5,60,90,446.46
5,66,90,489.30
5,72,90,532.98
5,84,90,616.14
5,96,90,701.40
5,24,96,212.10
5,30,96,252.84
5,36,96,294.42
5,42,96,336.42
5,48,96,379.26
5,54,96,423.78
5,60,96,468.72
5,66,96,512.82
5,72,96,557.34
5,84,96,645.54
5,96,96,735.84
6,24,36,80.64
6,30,36,91.98
6,36,36,105.84
6,42,36,119.28
6,48,36,142.38
6,54,36,145.74
6,60,36,159.60
6,66,36,174.72
6,72,36,188.16
6,84,36,216.30
6,96,36,245.70
6,24,42,87.78
6,30,42,101.64
6,36,42,115.92
6,42,42,133.56
6,48,42,145.32
6,54,42,164.22
6,60,42,178.92
6,66,42,196.14
6,72,42,210.84
6,84,42,242.34
6,96,42,275.52
6,24,48,91.56
6,30,48,107.52
6,36,48,123.90
6,42,48,142.38
6,48,48,156.66
6,54,48,174.72
6,60,48,192.36
6,66,48,209.58
6,72,48,228.48
6,84,48,262.08
6,96,48,297.78
6,24,54,100.38
6,30,54,116.34
6,36,54,134.40
6,42,54,153.30
6,48,54,170.94
6,54,54,190.68
6,60,54,209.58
6,66,54,228.90
6,72,54,247.80
6,84,54,284.76
6,96,54,323.82
6,24,60,109.62
6,30,60,126.84
6,36,60,147.00
6,42,60,165.90
6,48,60,185.64
6,54,60,207.90
6,60,60,228.06
6,66,60,250.32
6,72,60,270.90
6,84,60,312.48
6,96,60,354.06
6,24,66,117.60
6,30,66,137.34
6,36,66,158.76
6,42,66,179.76
6,48,66,201.60
6,54,66,225.96
6,60,66,248.22
6,66,66,271.32
6,72,66,294.00
6,84,66,340.20
6,96,66,384.72
6,24,72,124.74
6,30,72,144.48
6,36,72,168.00
6,42,72,191.10
6,48,72,215.04
6,54,72,239.82
6,60,72,263.34
6,66,72,287.70
6,72,72,312.90
6,84,72,360.36
6,96,72,410.34
6,24,78,133.56
6,30,78,157.50
6,36,78,182.70
6,42,78,207.90
6,48,78,234.36
6,54,78,260.40
6,60,78,286.86
6,66,78,313.32
6,72,78,340.62
6,84,78,392.70
6,96,78,446.46
6,24,84,139.44
6,30,84,166.32
6,36,84,192.36
6,42,84,220.50
6,48,84,247.38
6,54,84,275.94
6,60,84,303.24
6,66,84,333.06
6,72,84,360.36
6,84,84,416.22
6,96,84,472.50
6,24,90,146.58
6,30,90,174.72
6,36,90,203.70
6,42,90,231.84
6,48,90,261.66
6,54,90,292.32
6,60,90,321.72
6,66,90,352.80
6,72,90,383.04
6,84,90,442.68
6,96,90,502.74
6,24,96,153.30
6,30,96,183.54
6,36,96,212.10
6,42,96,243.60
6,48,96,275.52
6,54,96,306.60
6,60,96,338.94
6,66,96,370.86
6,72,96,402.36
6,84,96,465.78
6,96,96,530.46
7,24,36,145.32
7,30,36,166.74
7,36,36,190.26
7,42,36,216.72
7,48,36,239.40
7,54,36,267.12
7,60,36,291.90
7,66,36,316.26
7,72,36,343.14
7,84,36,397.32
7,96,36,448.56
7,24,42,157.08
7,30,42,181.02
7,36,42,207.90
7,42,42,238.56
7,48,42,262.92
7,54,42,293.58
7,60,42,323.40
7,66,42,351.54
7,72,42,379.26
7,84,42,439.74
7,96,42,498.96
7,24,48,165.90
7,30,48,194.88
7,36,48,223.86
7,42,48,255.36
7,48,48,282.24
7,54,48,318.78
7,60,48,348.60
7,66,48,381.78
7,72,48,413.70
7,84,48,478.38
7,96,48,542.64
7,24,54,182.70
7,30,54,213.36
7,36,54,246.96
7,42,54,279.30
7,48,54,310.80
7,54,54,348.18
7,60,54,382.62
7,66,54,421.26
7,72,54,454.86
7,84,54,525.42
7,96,54,595.98
7,24,60,196.14
7,30,60,229.32
7,36,60,266.70
7,42,60,301.56
7,48,60,334.32
7,54,60,377.16
7,60,60,413.70
7,66,60,454.02
7,72,60,491.82
7,84,60,568.68
7,96,60,645.54
7,24,66,210.84
7,30,66,246.96
7,36,66,285.18
7,42,66,323.82
7,48,66,362.46
7,54,66,405.72
7,60,66,445.20
7,66,66,487.62
7,72,66,528.78
7,84,66,611.94
7,96,66,696.36
7,24,72,224.28
7,30,72,261.66
7,36,72,304.08
7,42,72,346.92
7,48,72,386.82
7,54,72,433.86
7,60,72,478.38
7,66,72,522.90
7,72,72,566.58
7,84,72,654.78
7,96,72,747.60
7,24,78,235.62
7,30,78,278.46
7,36,78,321.72
7,42,78,365.82
7,48,78,413.70
7,54,78,459.90
7,60,78,509.88
7,66,78,557.34
7,72,78,605.64
7,84,78,698.88
7,96,78,795.06
7,24,84,245.70
7,30,84,290.64
7,36,84,339.78
7,42,84,386.40
7,48,84,435.12
7,54,84,483.84
7,60,84,535.50
7,66,84,585.48
7,72,84,634.20
7,84,84,734.16
7,96,84,837.00
7,24,90,257.04
7,30,90,305.76
7,36,90,356.58
7,42,90,406.56
7,48,90,456.96
7,54,90,511.56
7,60,90,562.80
7,66,90,617.82
7,72,90,672.84
7,84,90,777.84
7,96,90,884.10
7,24,96,268.38
7,30,96,319.20
7,36,96,371.70
7,42,96,424.62
7,48,96,478.38
7,54,96,535.50
